place,wdr.A,wdr.B,dist.A,dist.B,reg.A.dist,ward.A.dist,dist_sum,acceptWR0,
biro,biro-ulanga.dc-morogoro,biro-malinyi.dc-morogoro,ulanga.dc,malinyi.dc,0,0,0,acceptWR0,
bunamhala,bunamhala-itilima.dc-simiyu,bunamhala-bariadi.tc-simiyu,itilima.dc,bariadi.tc,0,0,0,acceptWR0,
chase,makorongo-bahi.dc-dodoma,makorongo-chemba.dc-dodoma,bahi.dc,chemba.dc,0,0,0,acceptWR0,
chibelela,chibelela-dodoma.cc-dodoma,chibelela-bahi.dc-dodoma,dodoma.cc,bahi.dc,0,0,0,acceptWR0,
chizomoche,mbabala-bahi.dc-dodoma,mbabala-dodoma.cc-dodoma,bahi.dc,dodoma.cc,0,0,0,acceptWR0,
dar.es.salam,pugu-temeke.mc-dar.es.salaam,pugu-ilala.mc-dar.es.salaam,temeke.mc,ilala.mc,0,0,0,acceptWR0,
dodoma,msalato-bahi.dc-dodoma,msalato-dodoma.cc-dodoma,bahi.dc,dodoma.cc,0,0,0,acceptWR0,
hamia,makanda-chemba.dc-dodoma,makanda-bahi.dc-dodoma,chemba.dc,bahi.dc,0,0,0,acceptWR0,
isangha,chibelela-dodoma.cc-dodoma,chibelela-bahi.dc-dodoma,dodoma.cc,bahi.dc,0,0,0,acceptWR0,
itenka,itenka-mpanda.dc-katavi,itenka-nsimbo.dc-katavi,mpanda.dc,nsimbo.dc,0,0,0,acceptWR0,
kadashi,maligisu-magu.dc-mwanza,maligisu-kwimba.dc-mwanza,magu.dc,kwimba.dc,0,0,0,acceptWR0,
kidatu,kidatu-ifakara.tc-morogoro,kidatu-kilombero.dc-morogoro,ifakara.tc,kilombero.dc,0,0,0,acceptWR0,
kizota,kizota-bahi.dc-dodoma,kizota-dodoma.cc-dodoma,bahi.dc,dodoma.cc,0,0,0,acceptWR0,
kizunguzi,ilonga-kilosa.dc-morogoro,ilonga-ulanga.dc-morogoro,kilosa.dc,ulanga.dc,0,0,0,0 - Chanzulu,
makanyaga,kidatu-ifakara.tc-morogoro,kidatu-kilombero.dc-morogoro,ifakara.tc,kilombero.dc,0,0,0,acceptWR0,
mbalawawala,mbalawala-bahi.dc-dodoma,mbalawala-dodoma.cc-dodoma,bahi.dc,dodoma.cc,0,0,0,acceptWR0,
miomboni,mofu-ulanga.dc-morogoro,mofu-kilombero.dc-morogoro,ulanga.dc,kilombero.dc,0,0,0,acceptWR0,
msalato,msalato-bahi.dc-dodoma,msalato-dodoma.cc-dodoma,bahi.dc,dodoma.cc,0,0,0,acceptWR0,
muungano,muungano-mbarali.dc-mbeya,muungano-kyela.dc-mbeya,mbarali.dc,kyela.dc,0,0,0,acceptWR0,
mwakoloba,lamadi-bariadi.dc-simiyu,lamadi-busega.dc-simiyu,bariadi.dc,busega.dc,0,0,0,acceptWR0,
mwamagigisi,igalukilo-bariadi.dc-simiyu,igalukilo-busega.dc-simiyu,bariadi.dc,busega.dc,0,0,0,acceptWR0,
mwamigongwa,malili-bariadi.dc-simiyu,malili-busega.dc-simiyu,bariadi.dc,busega.dc,0,0,0,acceptWR0,
mwamilu,bunamhala-itilima.dc-simiyu,bunamhala-bariadi.tc-simiyu,itilima.dc,bariadi.tc,0,0,0,acceptWR0,
mwamtani,sagata-bariadi.tc-simiyu,sagata-itilima.dc-simiyu,bariadi.tc,itilima.dc,0,0,0,acceptWR0,
mwanza,igoma-ilemela.mc-mwanza,igoma-nyamagana.mc-mwanza,ilemela.mc,nyamagana.mc,0,0,0,acceptWR0,
nachingwea,nachingwea-nachingwea.dc-lindi,nachingwea-ruangwa.dc-lindi,nachingwea.dc,ruangwa.dc,0,0,0,0-nachingwea,
nachingwea,nachingwea-nachingwea.dc-lindi,nachingwea-lindi.mc-lindi,nachingwea.dc,lindi.mc,0,0,0,0-nachingwea,
namangale,namangale-ruangwa.dc-lindi,namangale-lindi.dc-lindi,ruangwa.dc,lindi.dc,0,0,0,acceptWR0,
nambunda,michenjele-masasi.dc-mtwara,michenjele-tandahimba.dc-mtwara,masasi.dc,tandahimba.dc,0,0,0,acceptWR0,
nandagala,nandagala-lindi.dc-lindi,nandagala-ruangwa.dc-lindi,lindi.dc,ruangwa.dc,0,0,0,acceptWR0,
nanyumbu,nanyumbu-masasi.dc-mtwara,nanyumbu-nanyumbu.dc-mtwara,masasi.dc,nanyumbu.dc,0,0,0,acceptWR0,
ndomoni,nachingwea-nachingwea.dc-lindi,nachingwea-ruangwa.dc-lindi,nachingwea.dc,ruangwa.dc,0,0,0,0-nachingwea,
ndomoni,nachingwea-nachingwea.dc-lindi,nachingwea-lindi.mc-lindi,nachingwea.dc,lindi.mc,0,0,0,0-nachingwea,
ngamanga,utengule-wanging.ombe.dc-njombe,utengule-makambako.tc-njombe,wanging.ombe.dc,makambako.tc,0,0,0,acceptWR0,
tunduma,tunduma-momba.dc-songwe,tunduma-tunduma.dc-songwe,momba.dc,tunduma.dc,0,0,0,0 - No Ward,
maleza,kate-sumbawanga.dc-rukwa,kate-nkasi.dc-rukwa,sumbawanga.dc,nkasi.dc,0,0,0,0 - Kipeta,
lunyala,majengo-nkasi.dc-rukwa,majengo-sumbawanga.mc-rukwa,nkasi.dc,sumbawanga.mc,0,0,0,0 - Nkomolo,
luhafwe,tongwe-tanganyika-tanganyika,tongwe-muheza.dc-tanga,tanganyika,muheza.dc,0.166666667,0,0.166666667,,
masasi,masasi-masasi.dc-mtwara,masasi-misungwi.dc-mwanza,masasi.dc,misungwi.dc,0.222222222,0,0.222222222,,
masasi,masasi-nanyumbu.dc-mtwara,masasi-misungwi.dc-mwanza,nanyumbu.dc,misungwi.dc,0.222222222,0,0.222222222,,
mogero,mawindi-mba-mba,mawindi-mbarali.dc-mbeya,mba,mbarali.dc,0.311111111,0,0.311111111,,
masuguru,masuguru-masuguru-masuguru,masuguru-nanyumbu.dc-mtwara,masuguru,nanyumbu.dc,0.375,0,0.375,,
makanda,makanda-makanda-makanda,makanda-manyoni.dc-singida,makanda,manyoni.dc,0.380952381,0,0.380952381,,
